Date,Close,SMA50,SMA200,Signal,Entry/Exit
2015-01-02,356.73,,,0.0,
2015-01-05,347.5,,,0.0,0.0
2015-01-06,342.1,,,0.0,0.0
2015-01-07,349.34,,,0.0,0.0
2015-01-08,353.42,,,0.0,0.0
2015-01-09,349.23,,,0.0,0.0
2015-01-12,346.93,,,0.0,0.0
2015-01-13,347.98,,,0.0,0.0
2015-01-14,345.75,,,0.0,0.0
2015-01-15,342.45,,,0.0,0.0
2015-01-16,348.07,,,0.0,0.0
2015-01-20,346.59,,,0.0,0.0
2015-01-21,349.5,,,0.0,0.0
2015-01-22,360.79,,,0.0,0.0
2015-01-23,355.12,,,0.0,0.0
2015-01-26,357.39,,,0.0,0.0
2015-01-27,351.48,,,0.0,0.0
2015-01-28,345.03,,,0.0,0.0
2015-01-29,346.94,,,0.0,0.0
2015-01-30,340.51,,,0.0,0.0
2015-02-02,347.64,,,0.0,0.0
2015-02-03,352.95,,,0.0,0.0
2015-02-04,350.78,,,0.0,0.0
2015-02-05,358.82,,,0.0,0.0
2015-02-06,362.43,,,0.0,0.0
2015-02-09,360.87,,,0.0,0.0
2015-02-10,370.67,,,0.0,0.0
2015-02-11,369.9,,,0.0,0.0
2015-02-12,374.88,,,0.0,0.0
2015-02-13,376.04,,,0.0,0.0
2015-02-17,380.33,,,0.0,0.0
2015-02-18,377.86,,,0.0,0.0
2015-02-19,377.61,,,0.0,0.0
2015-02-20,376.64,,,0.0,0.0
2015-02-23,376.43,,,0.0,0.0
2015-02-24,378.11,,,0.0,0.0
2015-02-25,375.92,,,0.0,0.0
2015-02-26,375.02,,,0.0,0.0
2015-02-27,371.42,,,0.0,0.0
2015-03-02,376.42,,,0.0,0.0
2015-03-03,373.66,,,0.0,0.0
2015-03-04,369.14,,,0.0,0.0
2015-03-05,369.94,,,0.0,0.0
2015-03-06,365.47,,,0.0,0.0
2015-03-09,364.59,,,0.0,0.0
2015-03-10,356.19,,,0.0,0.0
2015-03-11,358.41,,,0.0,0.0
2015-03-12,368.71,,,0.0,0.0
2015-03-13,367.74,,,0.0,0.0
2015-03-16,374.08,360.83040000000005,,0.0,0.0
2015-03-17,374.26,361.18100000000004,,0.0,0.0
2015-03-18,377.76,361.7862,,0.0,0.0
2015-03-19,369.95,362.3432000000001,,0.0,0.0
2015-03-20,378.64,362.92920000000004,,0.0,0.0
2015-03-23,374.33,363.3474000000001,,0.0,0.0
2015-03-24,369.1,363.7448000000001,,0.0,0.0
2015-03-25,363.92,364.0846000000001,,0.0,0.0
2015-03-26,362.15,364.3680000000001,,0.0,0.0
2015-03-27,361.63,364.68560000000014,,0.0,0.0
2015-03-30,368.1,365.19860000000006,,0.0,0.0
2015-03-31,365.84,365.5540000000001,,0.0,0.0
2015-04-01,362.57,365.87360000000007,,0.0,0.0
2015-04-02,366.4,366.2116000000001,,0.0,0.0
2015-04-06,366.98,366.3354000000001,,0.0,0.0
2015-04-07,368.62,366.6054000000001,,0.0,0.0
2015-04-08,369.71,366.8518000000001,,0.0,0.0
2015-04-09,371.53,367.25280000000004,,0.0,0.0
2015-04-10,369.45,367.7412000000001,,0.0,0.0
2015-04-13,369.69,368.1962000000001,,0.0,0.0
2015-04-14,373.66,368.8592000000001,,0.0,0.0
2015-04-15,376.66,369.43960000000015,,0.0,0.0
2015-04-16,372.18,369.82420000000013,,0.0,0.0
2015-04-17,365.4,370.1166000000002,,0.0,0.0
2015-04-20,369.71,370.3344000000002,,0.0,0.0
2015-04-21,367.52,370.43620000000016,,0.0,0.0
2015-04-22,369.51,370.60900000000015,,0.0,0.0
2015-04-23,371.93,370.6342000000002,,0.0,0.0
2015-04-24,372.98,370.6958000000002,,0.0,0.0
2015-04-27,371.89,370.63600000000014,,0.0,0.0
2015-04-28,377.85,370.6722000000001,,0.0,0.0
2015-04-29,366.67,370.399,,0.0,0.0
2015-04-30,363.94,370.12059999999997,,0.0,0.0
2015-05-01,368.64,369.9412,,0.0,0.0
2015-05-04,370.27,369.81379999999996,,0.0,0.0
2015-05-05,366.05,369.60619999999994,,0.0,0.0
2015-05-06,363.4,369.31199999999995,,0.0,0.0
2015-05-07,365.68,369.10720000000003,,0.0,0.0
2015-05-08,370.04,369.0076,,0.0,0.0
2015-05-11,367.78,368.93480000000005,,0.0,0.0
2015-05-12,365.17,368.70980000000003,,0.0,0.0
2015-05-13,365.13,368.53920000000005,,0.0,0.0
2015-05-14,371.47,368.58580000000006,,0.0,0.0
2015-05-15,370.85,368.6040000000001,,0.0,0.0
2015-05-18,370.71,368.70880000000005,,0.0,0.0
2015-05-19,371.08,368.8386000000001,,0.0,0.0
2015-05-20,370.25,369.1198000000001,,0.0,0.0
2015-05-21,368.22,369.31600000000014,,0.0,0.0
2015-05-22,368.08,369.3034000000002,,0.0,0.0
2015-05-26,365.03,369.24920000000014,,0.0,0.0
2015-05-27,368.68,369.1412000000001,,0.0,0.0
2015-05-28,369.51,369.0462000000001,,0.0,0.0
2015-05-29,365.78,368.8066000000001,,0.0,0.0
2015-06-01,364.27,368.6930000000001,,0.0,0.0
2015-06-02,363.4,368.38820000000015,,0.0,0.0
2015-06-03,364.95,368.2006000000001,,0.0,0.0
2015-06-04,357.83,367.9752000000002,,0.0,0.0
2015-06-05,355.32,367.80320000000023,,0.0,0.0
2015-06-08,353.45,367.6292000000002,,0.0,0.0
2015-06-09,352.73,367.4512000000002,,0.0,0.0
2015-06-10,355.61,367.2014000000002,,0.0,0.0
2015-06-11,356.81,367.02080000000024,,0.0,0.0
2015-06-12,353.43,366.83800000000025,,0.0,0.0
2015-06-15,355.28,366.6156000000002,,0.0,0.0
2015-06-16,357.28,366.4216000000002,,0.0,0.0
2015-06-17,357.3,366.19520000000017,,0.0,0.0
2015-06-18,360.88,366.0186000000002,,0.0,0.0
2015-06-19,359.19,365.7718000000002,,0.0,0.0
2015-06-22,358.96,365.5620000000002,,0.0,0.0
2015-06-23,360.15,365.3712000000003,,0.0,0.0
2015-06-24,355.57,365.00940000000026,,0.0,0.0
2015-06-25,351.13,364.49880000000024,,0.0,0.0
2015-06-26,354.47,364.1446000000003,,0.0,0.0
2015-06-29,344.54,363.7274000000003,,0.0,0.0
2015-06-30,345.98,363.25280000000026,,0.0,0.0
2015-07-01,347.4,362.8504000000003,,0.0,0.0
2015-07-02,345.4,362.36820000000034,,0.0,0.0
2015-07-06,342.81,361.7858000000004,,0.0,0.0
2015-07-07,342.61,361.1784000000004,,0.0,0.0
2015-07-08,334.12,360.4230000000004,,0.0,0.0
2015-07-09,336.89,359.60380000000043,,0.0,0.0
2015-07-10,339.46,359.05960000000044,,0.0,0.0
2015-07-13,344.26,358.6660000000004,,0.0,0.0
2015-07-14,342.73,358.1478000000004,,0.0,0.0
2015-07-15,346.49,357.67220000000043,,0.0,0.0
2015-07-16,354.28,357.43680000000046,,0.0,0.0
2015-07-17,354.54,357.25960000000043,,0.0,0.0
2015-07-20,353.1,357.0080000000004,,0.0,0.0
2015-07-21,351.82,356.6436000000004,,0.0,0.0
